basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20251125,004720,KR7004720009,팜젠사이언스,KOSPI,3835,25,.66,3810,3890,3810,32485,124497042,18818261,72168030935
20251125,004770,KR7004770004,써니전자,KOSPI,1529,3,.2,1521,1536,1511,111236,169036377,35507438,54290872702
20251125,004780,KR7004780003,대륙제관,KOSDAQ,3490,20,.58,3485,3515,3470,7446,26005105,15903199,55502164510
20251125,004800,KR7004800009,효성,KOSPI,129400,4800,3.85,127500,132000,126700,36944,4799193900,16740407,2166208665800
20251125,004830,KR7004830006,덕성,KOSPI,4865,10,.21,4860,4930,4810,39844,193423294,15680000,76283200000
20251125,004835,KR7004831004,덕성우,KOSPI,7030,-30,-.42,7010,7160,7010,8801,62321620,1392000,9785760000
20251125,004840,KR7004840005,DRB동일,KOSPI,4835,0,0,4840,4905,4810,6417,30994875,19930000,96361550000
20251125,004870,KR7004870002,티웨이홀딩스,KOSPI,436,3,.69,429,438,429,225906,97936154,113163494,49339283384
20251125,004890,KR7004890000,동일산업,KOSPI,38900,0,0,38500,38900,38500,965,37377750,2425215,94340863500
20251125,004910,KR7004910006,조광페인트,KOSPI,4880,-70,-1.41,4955,4975,4875,15813,77493210,12800000,62464000000
20251125,004920,KR7004920005,씨아이테크,KOSPI,1099,-15,-1.35,1117,1117,1089,65682,72716563,50346691,55331013409
20251125,004960,KR7004960001,한신공영,KOSPI,8360,-100,-1.18,8360,8580,8300,43936,371061190,11570702,96731068720
20251125,004970,KR7004970000,신라교역,KOSPI,9140,-40,-.44,9250,9250,9100,7297,66655195,16000000,146240000000
20251125,004980,KR7004980009,성신양회,KOSPI,9480,-70,-.73,9530,9700,9370,36119,341581660,24516073,232412372040
20251125,004985,KR7004981007,성신양회우,KOSPI,10690,-30,-.28,10750,10890,10690,985,10607380,735645,7864045050
20251125,004990,KR7004990008,롯데지주,KOSPI,29550,-650,-2.15,30700,30900,29400,234466,7012768100,104909237,3100067953350
20251125,00499K,KR700499K014,롯데지주우,KOSPI,30650,0,0,30900,30900,30250,345,10533800,805603,24691731950
20251125,005010,KR7005010004,휴스틸,KOSPI,3935,-35,-.88,3945,4040,3915,187318,740931579,56188075,221100075125
20251125,005030,KR7005030002,부산주공,KOSPI,486,0,0,0,0,0,0,0,78782988,38288532168
20251125,005070,KR7005070008,코스모신소재,KOSPI,44200,-500,-1.12,45250,46500,43900,224582,10040164750,32510756,1436975415200
20251125,005090,KR7005090006,SGC에너지,KOSPI,22950,-100,-.43,23350,23350,22850,19640,451377050,14409333,330694192350
20251125,005110,KR7005110002,한창,KOSPI,1254,0,0,0,0,0,0,0,21106407,26467434378
20251125,005160,KR7005160007,동국산업,KOSDAQ,2775,-5,-.18,2785,2840,2765,51863,144663542,54244482,150528437550
20251125,005180,KR7005180005,빙그레,KOSPI,73000,-700,-.95,73800,74000,72900,23582,1729623100,9555703,697566319000
20251125,005250,KR7005250006,녹십자홀딩스,KOSPI,15380,-260,-1.66,15790,15820,15340,60064,930213475,47028210,723293869800
20251125,005257,KR7005252002,녹십자홀딩스2우,KOSPI,24000,-50,-.21,24100,24100,23850,345,8273200,845990,20303760000
20251125,005290,KR7005290002,동진쎄미켐,KOSDAQ,33450,1500,4.69,33300,33700,32650,336116,11145637825,51414494,1719814824300
20251125,005300,KR7005300009,롯데칠성,KOSPI,119700,-2700,-2.21,122600,123600,115500,14497,1743800100,9278884,1110682414800
20251125,005305,KR7005301007,롯데칠성우,KOSPI,68300,-700,-1.01,69100,69100,67900,966,65969300,775310,52953673000
20251125,005320,KR7005320007,온타이드,KOSPI,468,4,.86,460,471,454,71001,32642560,68375690,31999822920
20251125,005360,KR7005360003,모나미,KOSPI,1960,-15,-.76,1975,1992,1959,74699,147201532,18897307,37038721720
20251125,005380,KR7005380001,현대차,KOSPI,257500,0,0,261000,262000,256500,390393,101167646500,204757766,52725124745000
20251125,005385,KR7005381009,현대차우,KOSPI,193300,3100,1.63,192400,195300,192000,68103,13181514250,23340960,4511807568000
20251125,005387,KR7005382007,현대차2우B,KOSPI,195400,3100,1.61,194800,198000,193300,102442,20081236100,34963930,6831951922000
20251125,005389,KR7005383005,현대차3우B,KOSPI,192900,1600,.84,192200,194700,191600,8559,1652399950,2327452,448965490800
20251125,005420,KR7005420005,코스모화학,KOSPI,15540,-50,-.32,15750,16050,15390,117904,1843108900,38408228,596863863120
20251125,005430,KR7005430004,한국공항,KOSPI,57200,0,0,57000,57500,56000,3743,211631450,3166355,181115506000
20251125,005440,KR7005440003,현대지에프홀딩스,KOSPI,7920,-170,-2.1,8200,8200,7860,167599,1335399320,155904301,1234762063920
20251125,005490,KR7005490008,POSCO홀딩스,KOSPI,301000,-1500,-.5,305500,307000,299500,167675,50736853500,80932952,24360818552000
20251125,005500,KR7005500004,삼진제약,KOSPI,19800,-190,-.95,19990,20050,19770,22951,455570950,13900000,275220000000
20251125,005610,KR7005610001,SPC삼립,KOSPI,50300,-200,-.4,51000,51000,50200,4647,234363800,8629009,434039152700
20251125,005670,KR7005670005,푸드웰,KOSDAQ,6170,40,.65,6130,6270,6090,57787,354445930,10000000,61700000000
20251125,005680,KR7005680004,삼영전자,KOSPI,10200,10,.1,10300,10300,10100,12914,131076700,20000000,204000000000
20251125,005690,KR7005690003,파미셀,KOSPI,16040,-260,-1.6,16960,17410,15710,3680270,61016614650,60016964,962672102560
20251125,005710,KR7005710009,대원산업,KOSDAQ,13640,10,.07,13630,14060,13300,68551,937339250,20037600,273312864000
20251125,005720,KR7005720008,넥센,KOSPI,5600,-40,-.71,5500,5780,5500,34700,194974335,53543977,299846271200
20251125,005725,KR7005721006,넥센우,KOSPI,4480,0,0,4360,4700,4360,193,846190,3600600,16130688000
20251125,005740,KR7005740006,크라운해태홀딩스,KOSPI,6660,-70,-1.04,6730,6820,6610,18761,124880440,14847347,98883331020
20251125,005745,KR7005741004,크라운해태홀딩스우,KOSPI,7590,-20,-.26,7610,7640,7590,730,5553070,600726,4559510340
20251125,005750,KR7005750005,대림바스,KOSPI,5290,170,3.32,5130,5460,5120,77534,411641780,16672240,88196149600
20251125,005800,KR7005800008,신영와코루,KOSPI,14280,180,1.28,13970,14370,13970,5531,78278710,9000000,128520000000
20251125,005810,KR7005810007,풍산홀딩스,KOSPI,36050,-450,-1.23,36700,37200,35900,15495,564770350,14417292,519743376600
20251125,005820,KR7005820006,원림,KOSPI,14470,-30,-.21,14500,14600,14470,709,10278110,2297970,33251625900
20251125,005830,KR7005830005,DB손해보험,KOSPI,119900,-500,-.42,121800,123100,118900,153662,18421344600,70800000,8488920000000
20251125,005850,KR7005850003,에스엘,KOSPI,37150,700,1.92,36800,37900,36750,196248,7331333225,46448520,1725562518000
20251125,005860,KR7005860002,한일사료,KOSDAQ,3060,-35,-1.13,3085,3150,3045,125691,387066722,39403685,120575276100
20251125,005870,KR7005870001,휴니드,KOSPI,7630,120,1.6,7540,7860,7500,80036,615083315,14116015,107705194450
20251125,005880,KR7005880000,대한해운,KOSPI,1690,-19,-1.11,1716,1741,1687,1545707,2634491157,322747340,545443004600
20251125,005930,KR7005930003,삼성전자,KOSPI,99300,2600,2.69,101400,101400,97800,16110054,1602730841700,5919637922,587820045654600
20251125,005935,KR7005931001,삼성전자우,KOSPI,74900,2300,3.17,75500,75600,73800,2501268,187207163250,815974664,61116502333600
20251125,005940,KR7005940002,NH투자증권,KOSPI,20550,0,0,20900,21000,20300,508225,10465146800,356344369,7322876782950
20251125,005945,KR7005941000,NH투자증권우,KOSPI,18620,-140,-.75,18800,18870,18520,41495,774747270,18870968,351377424160
20251125,005950,KR7005950001,이수화학,KOSPI,8890,-310,-3.37,9360,9610,8700,543584,4978724020,26294169,233755162410
20251125,005960,KR7005960000,동부건설,KOSPI,5520,-50,-.9,5670,5670,5500,37644,208573170,22946663,126665579760
20251125,005965,KR7005961008,동부건설우,KOSPI,14700,-190,-1.28,14890,14890,14560,1982,29084910,225732,3318260400
20251125,005990,KR7005990007,매일홀딩스,KOSDAQ,10970,0,0,10970,11010,10950,237,2600620,13298304,145882394880
20251125,006040,KR7006040000,동원산업,KOSPI,43850,-1150,-2.56,45400,45850,43750,51666,2295794225,44147986,1935889186100
20251125,006050,KR7006050009,국영지앤엠,KOSDAQ,1204,2,.17,1203,1220,1190,78187,94237208,34895243,42013872572
20251125,006060,KR7006060008,화승인더,KOSPI,3750,0,0,3745,3800,3720,67367,252529095,55320000,207450000000
20251125,006090,KR7006090005,사조오양,KOSPI,9220,-30,-.32,9260,9310,9100,8793,80660340,9422739,86877653580
20251125,006110,KR7006110001,삼아알미늄,KOSPI,21750,-200,-.91,22150,22550,21700,22404,491119325,14711916,319984173000
20251125,006120,KR7006120000,SK디스커버리,KOSPI,60400,-500,-.82,61000,63000,60300,18009,1102160400,18347855,1108210442000
20251125,006125,KR7006121008,SK디스커버리우,KOSPI,39000,-600,-1.52,39800,40000,38850,1529,60072600,1312455,51185745000
20251125,006140,KR7006140008,피제이전자,KOSDAQ,5050,20,.4,5140,5140,4995,14984,75121000,15000000,75750000000
20251125,006200,KR7006200000,한국전자홀딩스,KOSPI,654,1,.15,652,667,650,20347,13300089,46803136,30609250944
20251125,006220,KR7006220008,제주은행,KOSPI,12060,-40,-.33,12100,12290,12010,74267,899888770,37798557,455850597420
20251125,006260,KR7006260004,LS,KOSPI,177400,-1800,-1,183400,186200,176700,140328,25211918100,31700000,5623580000000
20251125,006280,KR7006280002,녹십자,KOSPI,129700,-800,-.61,131200,132000,128800,32806,4263441000,11686538,1515743978600
20251125,006340,KR7006340004,대원전선,KOSPI,3630,-15,-.41,3700,3850,3620,6497427,24236218417,76353272,277162377360
20251125,006345,KR7006341002,대원전선우,KOSPI,3810,95,2.56,3715,3900,3680,63890,242031678,2621200,9986772000
20251125,006360,KR7006360002,GS건설,KOSPI,18540,-90,-.48,18790,19080,18440,297163,5562402390,85581490,1586680824600
