연번,과제명,사업명,공고명,세부공고명,사업년도,주관기관,관리기관,전문기관,산업기술분류
34,생성형 AI 기반 최적 생산계획 수립 기술 개발과 실증,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,인터텍,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
35,생체 신호와 행동 분석을 융합한 근로 환경 안전 관리 시스템 구축,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)아몬드,중소기업기술정보진흥원,중소기업기술정보진흥원,전기ㆍ전자>전기 전자 부품>센서 부품
36,중소기업용 제조 데이터 플랫폼 기반의 셀프 서비스형 데이터 파이프라인으로 데이터 처리 프로세스를 자동화한 의사결정지원 통합관리 기술 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,마크로버주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
37,"연기감지기의 조립/검사 작업의 자동화/고도화를 위한, 스칼라로봇 및 그리퍼 활용 시스템의 개발",스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)피에프이엔지,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>산업/일반 기계>방재소방기계
38,CCTV 및 LiDAR를 활용한 실시간 디지털 트윈 기반의 개인정보 비식별 행동 추론 및 시각화 기술 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,벡터시스,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
39,스마트디바이스를 적용한 50kg 이상 산업용 플라스틱 필름 표면 결함 검출 및 안전 시스템 구축,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 와이즈컨,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>임베디드 SW
40,산업현장 중대재해 대응 및 자율안전보건관리체계 구축을 위한 스마트워치 & IoT 센서 디바이스 기반 디지털 산업안전관리 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,이노메스,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
41,탄소저감을 위한 인공지능/사출성형 시뮬레이션 기반의 공정 최적화 기술 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,브이엠테크,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>연구개발/엔지니어링 서비스>생산공정모델링/시뮬레이션
42,가공 제품의 품질이상을 사전에 탐지하기 위한 정밀금속가공 설비 지능형 건전성 예측 진단 서비스 기술 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,인투와이즈,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
43,합성데이터 기반 인공지능 실리콘 실란트 제조 공정검사 시스템 구축,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 세이프에이아이,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>연구개발/엔지니어링 서비스>제품품질 관리기술
